id,order,appid,game,character,protagonist_name,protagonist_role,protagonist_type,source_type,source_url,source_note,validation_status,known_status,internal_suggested_primary_archetype,internal_suggested_secondary_archetype,internal_suggested_archetype_confidence_0_1,internal_archetype_rationale,internal_archetype_source_url,total_ratings_pos_neg,bucket,batch,prompt
steam_427730_the-daddy-the-baby,1,427730.0,Who's Your Daddy?!,The Daddy / The Baby,The Daddy / The Baby,asymmetrical father/baby multiplayer roles,dual/multiple playable roles,Steam store description,https://store.steampowered.com/app/427730/,Batch 06 top-250 completion. Suggested archetypes are pre-annotations only; blank values mean insufficient character-level evidence or unsuitable multiplayer/systemic row.,not_validated,named_protagonist,Caregiver,Jester,0.5,The store description explicitly frames one role as a father trying to prevent an infant son from dying; comedic multiplayer complicates coding.,https://store.steampowered.com/app/427730/,31695.0,action/adventure protagonist,06_top250_completion,Who's Your Daddy?! — The Daddy / The Baby
steam_368230_the-monarch,2,368230.0,Kingdom: Classic,The Monarch,The Monarch,monarch managing and defending a minimalist kingdom,systemic/fixed role,Steam store description / series wiki,https://www.google.com/search?q=Kingdom:+Classic+protagonist+wiki,Batch 06 top-250 completion. Suggested archetypes are pre-annotations only; blank values mean insufficient character-level evidence or unsuitable multiplayer/systemic row.,not_validated,named_protagonist,Ruler,Caregiver,0.7,The role is explicitly a monarch managing resources and defending subjects; this is a strong systemic Ruler/Caregiver case.,https://www.google.com/search?q=Kingdom:+Classic+protagonist+wiki,22615.0,systemic/player-role,06_top250_completion,Kingdom: Classic — The Monarch
steam_424280_piglet,3,424280.0,Iron Snout,Piglet,Piglet,piglet fighting wolves for survival,fixed comic action protagonist,Steam store description,https://store.steampowered.com/app/424280/,Batch 06 top-250 completion. Suggested archetypes are pre-annotations only; blank values mean insufficient character-level evidence or unsuitable multiplayer/systemic row.,not_validated,named_protagonist,Jester,Hero,0.55,The store description explicitly frames a piglet fighting for its life; comic violence supports Jester/Hero suggestion.,https://store.steampowered.com/app/424280/,17459.0,action/adventure protagonist,06_top250_completion,Iron Snout — Piglet
steam_388090_the-child-crying-child,4,388090.0,Five Nights at Freddy's 4,The Child / Crying Child,The Child / Crying Child,child defending himself from nightmare animatronics,fixed/minimal horror protagonist,Five Nights at Freddy’s wiki / Steam store description,https://www.google.com/search?q=Five+Nights+at+Freddy's+4+protagonist+wiki,Batch 06 top-250 completion. Suggested archetypes are pre-annotations only; blank values mean insufficient character-level evidence or unsuitable multiplayer/systemic row.,not_validated,named_protagonist,Innocent,Everyman,0.65,The premise is a child surviving nightmarish threats; archetype proposal should still be validated due to lore complexity.,https://www.google.com/search?q=Five+Nights+at+Freddy's+4+protagonist+wiki,16664.0,systemic/player-role,06_top250_completion,Five Nights at Freddy's 4 — The Child / Crying Child
steam_393080_soap-mactavish-sas-and-usmc-campaign-soldiers,5,393080.0,Call of Duty®: Modern Warfare® Remastered (2017),Soap MacTavish / SAS and USMC campaign soldiers,Soap MacTavish / SAS and USMC campaign soldiers,campaign soldiers in remastered Modern Warfare,multiple fixed campaign protagonists,Call of Duty wiki / campaign documentation,https://www.google.com/search?q=Call+of+Duty:+Modern+Warfare+Remastered+(2017)+protagonist+wiki,Batch 06 top-250 completion. Suggested archetypes are pre-annotations only; blank values mean insufficient character-level evidence or unsuitable multiplayer/systemic row.,not_validated,named_protagonist,Hero,Everyman,0.55,The campaign is structured through military protagonists rather than one single player character; Soap is central but not the only viewpoint.,https://www.google.com/search?q=Call+of+Duty:+Modern+Warfare+Remastered+(2017)+protagonist+wiki,15573.0,action/adventure protagonist,06_top250_completion,Call of Duty®: Modern Warfare® Remastered (2017) — Soap MacTavish / SAS and USMC campaign soldiers
steam_367520_the-knight,6,367520.0,Hollow Knight,The Knight,The Knight,discarded Vessel / silent playable protagonist,silent_avatar,wiki,https://hollowknight.wiki/w/The_Knight,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Explorer,Hero / Innocent,0.72,Exploration of Hallownest and traversal through unknown ruins dominate the player role; heroic vessel function and blank/projective identity complicate the reading.,https://hollowknight.wiki/w/The_Knight,,,batch01_04_unknown,Hollow Knight — The Knight
steam_391540_frisk,7,391540.0,Undertale,Frisk,Frisk,eighth human / playable protagonist,silent_avatar,wiki,https://undertale.wiki/w/Frisk,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Everyman,Innocent / Rebel,0.7,"Frisk is a childlike human entering an unfamiliar world; routes allow peaceful, neutral, or violent enactments, so archetype is deliberately player-shaped.",https://undertale.wiki/w/Frisk,,,batch01_04_unknown,Undertale — Frisk
steam_504230_madeline,8,504230.0,Celeste,Madeline,Madeline,mountain climber confronting anxiety and self-doubt,fixed_protagonist,wiki,https://celeste.ink/wiki/Madeline,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Hero,Sage / Explorer,0.75,"Her climb externalizes internal struggle; the Hero frame is psychological rather than martial, with strong self-knowledge and ascent/exploration components.",https://celeste.ink/wiki/Madeline,,,batch01_04_unknown,Celeste — Madeline
steam_414340_senua,9,414340.0,Hellblade: Senua's Sacrifice,Senua,Senua,Pict warrior on a journey through Helheim to save Dillion,fixed_protagonist,wiki,https://thehellblade.fandom.com/wiki/Senua,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Hero,Lover / Sage,0.78,"Senua undertakes a perilous mythic journey for a loved one; the game foregrounds trauma, perception and self-understanding, giving high shadow load but not Shadow as primary.",https://thehellblade.fandom.com/wiki/Senua,,,batch01_04_unknown,Hellblade: Senua's Sacrifice — Senua
steam_379720_doom-slayer,10,379720.0,DOOM,Doom Slayer,Doom Slayer,demon-killing space marine / Slayer,fixed_protagonist,wiki,https://doom.fandom.com/wiki/Doom_Slayer,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Hero,Rebel,0.82,"The role is almost purely confrontational heroic violence against demonic forces, with a rebellious anti-authority tone in modern Doom.",https://doom.fandom.com/wiki/Doom_Slayer,,,batch01_04_unknown,DOOM — Doom Slayer
